appid,maxccu,success_class,suc_class,followers
1313330,1,F,0,59
1179420,4,F,0,128
1349720,2,F,0,24
1379840,2,F,0,11
1400360,2,F,0,58
1312740,11,F,0,41
1432930,2,F,0,24
1446840,1,F,0,42
1462740,2,F,0,36
1438940,2,F,0,32
1489820,2,F,0,58
446430,3,F,0,65
496360,3,F,0,109
495540,1,F,0,38
526960,1,F,0,55
516680,1,F,0,111
563160,2,F,0,50
552550,1,F,0,224
576700,9,F,0,81
526450,5,F,0,153
748520,4,F,0,47
757440,3,F,0,215
773340,7,F,0,40
772100,1,F,0,25
779150,2,F,0,40
658880,1,F,0,24
807820,2,F,0,52
833650,1,F,0,123
854710,3,F,0,84
950780,3,F,0,27
985770,3,F,0,83
1028410,3,F,0,39
1054520,2,F,0,36
1042880,1,F,0,71
1153120,2,F,0,19
1154360,8,F,0,76
1176090,1,F,0,28
1114710,3,F,0,97
1253460,2,F,0,15
1260250,2,F,0,70
1270840,3,F,0,179
1307390,12,F,0,47
1278690,4,F,0,120
1356890,2,F,0,19
1375430,3,F,0,1059
607350,4,F,0,70
1407570,5,F,0,37
1480020,4,F,0,305
458820,2,F,0,108
666120,2,F,0,58
656730,3,F,0,94
674550,1,F,0,452
748670,2,F,0,52
860570,2,F,0,92
969860,2,F,0,53
1011370,1,F,0,33
1014930,2,F,0,20
1115570,2,F,0,13
1115040,2,F,0,66
1131420,2,F,0,177
1159340,2,F,0,53
1197840,1,F,0,17
1256480,2,F,0,34
1374740,4,F,0,200
1385190,4,F,0,279
1360360,7,F,0,209
1341430,3,F,0,47
470890,2,F,0,205
524610,2,F,0,52
569390,4,F,0,92
672940,2,F,0,88
691980,6,F,0,129
673720,2,F,0,56
697490,2,F,0,0
790800,2,F,0,116
755450,2,F,0,118
771400,2,F,0,389
828080,2,F,0,12
786940,5,F,0,39
848150,2,F,0,72
873320,2,F,0,63
933900,1,F,0,50
935460,2,F,0,84
664720,3,F,0,116
1024150,2,F,0,27
1033720,1,F,0,138
1159590,3,F,0,42
1205020,3,F,0,34
1212750,2,F,0,15
1247950,2,F,0,17
1360400,2,F,0,18
1427150,2,F,0,60
572980,3,F,0,184
791790,3,F,0,28
805690,2,F,0,26
809220,2,F,0,39
970650,3,F,0,110
1007970,4,F,0,322
1365660,3,F,0,18
1500260,2,F,0,27
978610,3,F,0,281
1051630,3,F,0,127
1246140,2,F,0,37
446440,3,F,0,59
501060,2,F,0,191
577890,5460,C,1,97
1494990,2,F,0,27
556000,40,F,0,124
855480,2,F,0,106
868350,2,F,0,133
875360,2,F,0,50
1203430,3,F,0,22
842270,2,F,0,27
866280,2,F,0,95
1173340,3,F,0,113
967170,3,F,0,119
1036320,3,F,0,98
32000,1,F,0,39
780690,2,F,0,1553
948120,2,F,0,86
1079340,3,F,0,19
862520,5,F,0,369
586100,7,F,0,268
1434500,4,F,0,52
1132850,1,F,0,9
279280,1,F,0,194
304970,2,F,0,2095
402970,1,F,0,229
411860,1,F,0,25
424310,2,F,0,143
411340,3,F,0,147
439660,3,F,0,0
457790,2,F,0,122
442860,2,F,0,71
435750,2,F,0,832
496070,1,F,0,37
490430,3,F,0,48
491380,3,F,0,0
493920,1,F,0,120
494790,1,F,0,54
497480,2,F,0,58
511420,1,F,0,0
510180,1,F,0,0
1445670,1,F,0,32
513310,3,F,0,99
446110,2,F,0,30
545910,4,F,0,65
518740,1,F,0,68
552220,2,F,0,56
549660,2,F,0,28
558010,2,F,0,115
545000,4,F,0,161
552210,14,F,0,67
566640,3,F,0,151
468540,2,F,0,84
567430,2,F,0,29
586720,3,F,0,43
571080,1,F,0,52
566140,1,F,0,43
585590,1,F,0,31
597640,3,F,0,110
557760,2,F,0,107
598050,4,F,0,47
549220,3,F,0,36
593720,3,F,0,32
621140,2,F,0,48
616050,2,F,0,51
624900,3,F,0,30
607230,10,F,0,26
314610,1,F,0,68
619590,1,F,0,35
352310,1,F,0,33
555810,1,F,0,48
626780,3,F,0,148
420130,3,F,0,44
582460,4,F,0,310
644740,2,F,0,80
649040,1,F,0,27
652160,2,F,0,42
655650,2,F,0,32
